,Income (€),Loonbelasting (€)
0,5000,1846.5
1,6000,2215.8
2,7000,2585.1
3,8000,2954.4
4,9000,3323.7
5,10000,3693.0
6,11000,4062.3
7,12000,4431.6
8,13000,4800.9
9,14000,5170.2
10,15000,5539.5
11,16000,5908.8
12,17000,6278.1
13,18000,6647.4
14,19000,7016.7
15,20000,7386.0
16,21000,7754.93
17,22000,8124.23
18,23000,8493.53
19,24000,8862.83
20,25000,9232.13
21,26000,9601.43
22,27000,9970.73
23,28000,10340.03
24,29000,10709.33
25,30000,11078.63
26,31000,11447.93
27,32000,11817.23
28,33000,12186.53
29,34000,12555.83
30,35000,12925.13
31,36000,13294.43
32,37000,13663.73
33,38000,14033.03
34,39000,14401.96
35,40000,14771.26
36,41000,15140.56
37,42000,15509.86
38,43000,15879.16
39,44000,16248.46
40,45000,16617.76
41,46000,16987.06
42,47000,17356.36
43,48000,17725.66
44,49000,18094.96
45,50000,18464.26
46,51000,18833.56
47,52000,19202.86
48,53000,19572.16
49,54000,19941.46
50,55000,20310.76
51,56000,20680.06
52,57000,21049.36
53,58000,21418.66
54,59000,21787.96
55,60000,22157.26
56,61000,22526.56
57,62000,22895.86
58,63000,23265.16
59,64000,23634.46
60,65000,24003.76
61,66000,24373.06
62,67000,24742.36
63,68000,25111.66
64,69000,25480.96
65,70000,25850.26
66,71000,26219.56
67,72000,26588.86
68,73000,26958.16
69,74000,27448.77
70,75000,27943.77
71,76000,28438.77
72,77000,28933.77
73,78000,29428.77
74,79000,29923.77
75,80000,30418.77
76,81000,30913.77
77,82000,31408.77
78,83000,31903.77
79,84000,32398.77
80,85000,32893.77
81,86000,33388.77
82,87000,33883.77
83,88000,34378.77
84,89000,34873.77
85,90000,35368.77
86,91000,35863.77
87,92000,36358.77
88,93000,36853.77
89,94000,37348.77
90,95000,37843.77
91,96000,38338.77
92,97000,38833.77
93,98000,39328.77
94,99000,39823.77
95,100000,40318.77
